Fund me ,Mean,standard deviation,sharpe,sortino,beta,Alpha,R square,Treynor ratio,Expense Ratio,Min Investment Amt. ,SIP ( YES/NO),Lumpsum(Yes/No),V,AUM ( CR )
ICICI Prudential Infrastructure Fund    ,9.88,17.3,0.2,0.28,0.92,3.27,0.88,3.76,2.27,5000,yes,yes,R 51.49,1387
UTI Infrastructure Fund - Regular Plan  ,10.37,18.87,0.21,0.34,0.98,3.75,0.84,4.03,2.18,5000,yes,yes,54.2638,1472
Cara Robeco Infrastructure Fund - Regular Plan,10.14,16.45,0.23,0.35,0.78,3.56,0.69,4.79,2.49,5000,yes,yes,46.8,132
Aditya Birla Sun Life Infrastructure Fund    ,11.48,17.47,0.29,0.42,0.88,4.88,0.78,5.76,2.81,1000,yes,yes,34.17,704
Sundaram Infrastructure Advantage Fund - Regular Plan    ,11.32,17.94,0.27,0.37,0.87,4.72,0.73,5.63,2.55,5000,yes,yes,33.4692,673
Taurus Infrastructure Fund - Regular Plan,15.87,16.71,0.57,0.89,0.86,9.28,0.81,11.02,2.84,5000,yes,yes,26.9,5
SBI Gold Fund,3.64,0.1215,-0.24,-0.44,1.09,-0.73,0.94,-1.61,0.0045,5000,no,yes,9.6324,312
Aditya Birla Sun Life Gold Exchange Traded Fund,3.57,0.1523,-0.2,-0.28,1.17,-0.64,0.75,-0.65,0.5,1000,no,yes,9.7158,53
Cara Robeco Gold Exchange Traded Fund,4.22,0.1167,-0.2,-0.38,1.03,-0.26,0.94,-0.86,0.008,5000,no,yes,2824.3174,37 crore
Cara Robeco Gold Savings Fund - Regular Plan,3.56,0.1102,-0.26,-0.47,0.99,-0.98,0.91,-0.0288,0.0055,5000,no,yes,9.0819,36
HDFC Gold Exchange Traded Fund,4.2,12.64,-0.18,-0.34,1.09,-0.15,0.84,-2.03,0,5000,NO,yes,2761.7593,427
HDFC Gold Fund,4.15,11.39,-0.2,-0.35,1.05,-0.29,0.95,-0.0261,0,5000,NO,yes,10.0988,205
IDBI Gold Exchange Traded Fund,4.44,12.66,-0.16,-0.31,1.1,0.09,0.86,-0.15,0.0058,10000,NO,yes,2846.79,62
Invesco India Gold Exchange Traded Fund,3.97,12.71,-0.19,-0.38,1.1,-0.37,0.86,-0.57,0.01,5000,NO,yes,2768.1513,30
Kotak Gold Fund Regular Plan,3.73,11.6,-0.23,-0.38,0.99,-0.82,0.83,-1.13,0,5000,NO,yes,12.6186,131
Reliance ETF Gold BeES,4.02,12.62,-0.19,-0.39,1.09,-0.34,0.85,-0.44,0.0118,10000,NO,yes,2705.8588,2243
UTI Gold Exchange Traded Fund,4.21,12.78,-0.17,-0.34,1.11,-0.12,0.86,-0.36,0,20000,NO,yes,2703.9024,431
